time			channel0	channel1	channel2	torque	speed	power
2023-10-10 14:52:56:742	.316017	.159959	00163317	??	???	
2023-10-10 14:46:16:483	-1.58376	4.61971	0.000140667	5.21	0	26.2
2023-10-10 14:46:16:483	-3.07326	4.71259	0.000138283	??-???	????????	??????
2023-10-10 14:46:16:483	-3.71354	4.71333	9.29833e-05	5.21	0	26.2
2023-10-10 14:46:16:483	-3.31582	4.71947	5.36442e-05	??-???	????????	??????
2023-10-10 14:46:16:483	-1.99768	4.73784	4.76837e-05	5.21	0	26.2
2023-10-10 14:46:16:483	-0.14637	4.81989	8.34465e-05	??-???	????????	??????
2023-10-10 14:46:16:483	1.68824	0.1708	8.70228e-05	5.21	0	26.2
2023-10-10 14:46:16:483	2.95931	0.0294006	7.98702e-05	??-???	????????	??????
2023-10-10 14:46:16:483	3.28523	0.0453496	0.00015378	5.21	0	26.2
2023-10-10 14:46:16:483	2.56905	0.0799406	0.00015974	??-???	????????	??????
2023-10-10 14:46:16:483	1.02508	0.175266	0.000165701	5.21	0	26.2
2023-10-10 14:46:16:483	-0.884516	1.53171	0.000103712	??-???	????????	??????
2023-10-10 14:46:16:483	-2.5904	4.46575	6.91414e-05	5.21	0	26.2
2023-10-10 14:46:16:483	-3.58964	4.54672	4.64916e-05	??-???	????????	??????
2023-10-10 14:46:16:483	-3.58718	4.56182	3.93391e-05	5.21	0	26.2
2023-10-10 14:46:16:483	-2.58417	4.54379	7.39098e-05	??-???	????????	??????
2023-10-10 14:46:16:483	-0.876197	4.45938	7.98702e-05	5.21	0	26.2
2023-10-10 14:46:16:483	1.03341	3.22888	7.27177e-05	??-???	????????	??????
2023-10-10 14:46:16:483	2.5741	0.126754	0.000106096	5.21	0	26.2
2023-10-10 14:46:16:483	3.28657	0.0288391	0.000149012	??-???	????????	??????
2023-10-10 14:46:16:483	2.95597	-0.0268483	9.65595e-05	5.21	0	26.2
2023-10-10 14:46:16:483	1.68049	-0.100638	0.000100136	??-???	????????	??????
2023-10-10 14:46:16:483	-0.15528	-0.365703	8.10623e-05	5.21	0	26.2
